ID,Text
28,"A group of supernatural hunters is out to get your target. Maybe for sport, maybe from ideology, in either case they need to survive for long enough that their allies can come and help them deal with the threat."
29,"Your target is attacked by a lone vigilante, maybe someone they've wronged in the past or someone just out to get all supernaturals. They need to defeat their enemy or survive for long enough that their allies can come help them."
30,"Your target comes upon an NPC being targeted by a group of supernatural hunters or a lone vigilante. They need to try to keep them safe for long enough for help to arrive."
31,"Your target is swept into a pocket dream world by a true Fae interested in a romantic liaison"
32,"Your target and their allies have been tasked with convincing a retired and burnt out faction member to come back to the fight."
33,"Your target is abducted in their sleep, waking up alone in a locked room. They need to either escape or draw attention to them so their allies can come and provide assistance."
34,"Your target and their allies have been tasked with extracting a piece of information from a member of an opposing faction or subfaction but they cannot break the understanding to do so."
35,"Your target has been hexed and transformed into an animal against their will. Unable to turn back they need to try to find allies who can understand their problem and find a way to undo the curse."
36,"Your target and their allies encounter the vassal of a demon or god who wants to quit working for their master and go back to a normal life. They need to either find a way to help them do that, or betray them to their master."
37,"Your target and their allies encounter the former thrall of a vampire who has run away from their previous master. Probably at least slightly mind controlled they're likely confused and struggling with their decision. The characters need to either help them found a new life, or send them back to their owner."
38,"Your target and their allies encounter the former thrall of a vampire who has been discarded by their previous owner, likely mind controlled into complete devotion the thrall wants nothing more than to return. It is up to the characters to either help them return, or stop them from doing so."
39,"Your target and their allies encounter the former thrall of a vampire who's become accidentally separated from their master. Likely mind controlled into complete devotion the thrall wants nothing more than to return. It is up to the characters to either help them do so, or prevent them from doing so."
40,"Your target is attacked by a dream stalker who subjects them to their greatest fantasies in the dream world in order to keep their body passive while it's energies are fed upon. They need to, possibly with the help of allies entering their dreams, resist the temptation long enough for other allies to find them or for them to wake up. "
41,"Your target and their allies encounter someone who's been supernaturally influenced into committing a crime for a supernatural. It is up to them to stop the crime and then maybe also try to find the true perpetrator, maybe freeing the thrall from their control in the process."
42,"Your target is abducted by a sea creature that's somehow crossed over into our world, it is up to them to survive for long enough that their allies can come help."
43,"Your target is singled out by some sort of spirit that can only attack them through mirrors, it is up to them to survive long enough by avoiding mirrors/their reflection until their allies can help them find a way to defeat the monster."
44,"Your target is abuducted through the water to an undersea cave where an oceanic Fae is wanting a romantic or social encounter with them."
45,"Your target is attacked by monsters from the nightmare who've found a way through into our world. They need to survive for long enough for their allies to come help them."
46,"Your target is abducted by humans who believe that the target can help make them supernatural. They need to either get out of the situation themselves, or stall for long enough for their allies to come save them."
47,"Your target has been afflicted with a curse that mentally regresses them back to the mental state of an irresponsible teenager. It is up to their allies to figure out what's happening and fix it before they do anything too bad."
48,"Your target has been afflicted by a curse which takes away control of one of their limbs, which now has a new and likely destructive purpose. It is up to them to control the cursed limb for long enough for they and their allies to figure out how to contain or solve the problem."
49,"Your target and their allies encounter a demonborn who in the midst of sadistic lust has gone too far and is now filled with regret and self loathing at what they've done."
50,"Your target and their allies encounter a vampire who has killed their first feeding victim, likely less than six months a vampire they are horrified at what they've done and wracked with guilt. "
51,"Your target and their allies have been tasked with helping to cure someone's insanity by delving into their mind with dream invading to solve the issues keeping them from sanity."
52,"Your target and their allies have been tasked with stealing a vital piece of intelligence from a subject by delving into their mind with dream invading to try to tease out the secret."
